feature_set,l1_C,selected_features,model,model_C,cv_roc_auc,grid_fit_seconds,roc_auc,pr_auc,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
all_forensic,0.1,100,logistic_regression,10.0,0.7046022932313093,3346.839014399913,0.7148558273403764,0.7823566120240091,0.6665286089999793,0.7204131965543125,0.7087846391897594,0.7145516104444011,0.6573943847739459,12031,7822,8281,20155
all_forensic,0.3,101,logistic_regression,10.0,0.7048136811375021,1051.8115650999825,0.7136843353154052,0.7812714029820949,0.6650997121497649,0.7192348945298535,0.7074483049655367,0.7132929121015495,0.6559454792343928,12000,7853,8319,20117
all_forensic,1.0,102,logistic_regression,10.0,0.7048314950105077,939.6312136000488,0.7136418653329287,0.7812522179092187,0.6651204207997681,0.7193390321542258,0.707272471514981,0.7132547211632237,0.6560086731724908,12006,7847,8324,20112
all_forensic,0.03,90,logistic_regression,10.0,0.7036962771321291,479.00132039992604,0.7125747450258202,0.7809842379900139,0.6644784526496718,0.7207028431231058,0.7024546349697567,0.7114617466875625,0.656269376619518,12112,7741,8461,19975
all_forensic,0.01,72,logistic_regression,10.0,0.6997902416387061,821.3706971000647,0.7106253186267215,0.779896933799461,0.6636708152995506,0.7186973207560704,0.7046701364467576,0.7116146101532397,0.6548082460806296,12010,7843,8398,20038
all_forensic,0.003,52,logistic_regression,10.0,0.6927956563304418,170.45648679998703,0.7062520600403682,0.7721243114519396,0.6594462506989169,0.7157042633567189,0.6995709663806442,0.7075456598673329,0.6507727395243774,11951,7902,8543,19893
all_forensic,0.001,28,logistic_regression,10.0,0.6588426718085832,76.1661371999653,0.6914737797420691,0.7597053897797017,0.6457992503468699,0.7033010405453893,0.6893022928681952,0.6962313074983127,0.6363954671916657,11584,8269,8835,19601
