threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
0.37,0.7148558273403764,0.7823566120240091,0.646606887696991,0.6477175296838058,0.8767055844703896,0.7450130743369442,0.5968678781164218,6294,13559,3506,24930
0.36000000000000004,0.7148558273403764,0.7823566120240091,0.6429621652964443,0.6429939966790139,0.8851455900970601,0.7448839170772851,0.5906108749357007,5878,13975,3266,25170
0.38,0.7148558273403764,0.7823566120240091,0.6502516100975377,0.6529120428000106,0.8669292446194964,0.7448521747012525,0.6034137483864117,6748,13105,3784,24652
0.33,0.7148558273403764,0.7823566120240091,0.6326492575948974,0.63032724968932,0.9096919397946265,0.7446707448722563,0.5727626575515721,4682,15171,2568,25868
0.35000000000000003,0.7148558273403764,0.7823566120240091,0.6390068131458511,0.6382203687886249,0.8934097622731748,0.7445561384484629,0.5840141039240754,5452,14401,3031,25405
0.34,0.7148558273403764,0.7823566120240091,0.6353827993953074,0.6338069936982578,0.9019201012800675,0.7444594418078112,0.5777670823229029,5035,14818,2789,25647
0.32,0.7148558273403764,0.7823566120240091,0.6285903621942885,0.6261866423129612,0.9162681108454073,0.7439503176529374,0.5664048457314731,4299,15554,2381,26055
0.39,0.7148558273403764,0.7823566120240091,0.6528816086479322,0.6576544943820225,0.856273737515825,0.7439352276199205,0.6089155923765092,7178,12675,4087,24349
0.4,0.7148558273403764,0.7823566120240091,0.6561949926484293,0.6630746334472495,0.8460753973835983,0.7434796044499382,0.6151497220635818,7628,12225,4377,24059
0.31,0.7148558273403764,0.7823566120240091,0.6248835138437325,0.6224494637942488,0.92259811506541,0.7433696021761306,0.5605283931494883,3940,15913,2201,26235
0.3,0.7148558273403764,0.7823566120240091,0.6210731222431609,0.6188566873006941,0.9281544521029681,0.7425862360024759,0.5546932538558461,3598,16255,2043,26393
0.29000000000000004,0.7148558273403764,0.7823566120240091,0.6185259582927789,0.6161913822307817,0.9338866225910817,0.7424824905987446,0.5503563974789892,3312,16541,1880,26556
0.41000000000000003,0.7148558273403764,0.7823566120240091,0.6587421565988113,0.6682804627466434,0.834927556618371,0.7423666807373013,0.6206572503285277,8068,11785,4694,23742
0.28,0.7148558273403764,0.7823566120240091,0.6150883223922633,0.6130743266515121,0.938950625967084,0.7418006028866324,0.5450810148925733,3002,16851,1736,26700
0.27,0.7148558273403764,0.7823566120240091,0.6115678518917351,0.6099711409548481,0.943979462652975,0.7410791932967987,0.539712493629414,2689,17164,1593,26843
0.01,0.7148558273403764,0.7823566120240091,0.5886640849882996,0.5888154486874003,0.9993669995779997,0.7410266105164343,0.4998849806735009,8,19845,18,28418
0.42000000000000004,0.7148558273403764,0.7823566120240091,0.6609579821491437,0.6736526946107785,0.8229005486003658,0.740834546951181,0.6259518609621484,8517,11336,5036,23400
0.02,0.7148558273403764,0.7823566120240091,0.5884155811882623,0.5887315768744429,0.9987691658461105,0.7407958057826989,0.49971198936036954,13,19840,35,28401
0.03,0.7148558273403764,0.7823566120240091,0.5884569984882686,0.588825957967677,0.9981009987339992,0.7406866135156647,0.4999067931261292,34,19819,54,28382
0.04,0.7148558273403764,0.7823566120240091,0.588353455238253,0.588823846888363,0.9975383316922212,0.7405299569246834,0.49990249582142915,45,19808,70,28366
0.26,0.7148558273403764,0.7823566120240091,0.6083787197912568,0.6072321167225813,0.9484104656069771,0.7404082417054455,0.5348761641488772,2409,17444,1467,26969
0.05,0.7148558273403764,0.7823566120240091,0.5881049514382157,0.5887766974154409,0.9965888310592207,0.7402309058614566,0.4998055221633685,60,19793,97,28339
0.25,0.7148558273403764,0.7823566120240091,0.6061214769409182,0.6051315260595775,0.9529821353214235,0.7402278128329098,0.5311427575816305,2170,17683,1337,27099
0.060000000000000005,0.7148558273403764,0.7823566120240091,0.5878357389881753,0.5887098450982431,0.9957096638064425,0.739935450993715,0.49966815986373103,72,19781,122,28314
0.24000000000000002,0.7148558273403764,0.7823566120240091,0.6034914783905238,0.6029115242294654,0.9568856379237586,0.7397338480568734,0.5271004525688908,1932,17921,1226,27210
0.22,0.7148558273403764,0.7823566120240091,0.5994740002899211,0.5992492197559964,0.9655718103812069,0.7395326914012524,0.5203369050394928,1491,18362,979,27457
0.06999999999999999,0.7148558273403764,0.7823566120240091,0.5873801486881071,0.5885584666930265,0.9945843297228865,0.7395050268666084,0.49935734392757936,82,19771,154,28282
0.23,0.7148558273403764,0.7823566120240091,0.6011721095901759,0.6008661053834824,0.9612463074975384,0.7394862499492743,0.5233371012629988,1696,18157,1102,27334
0.08,0.7148558273403764,0.7823566120240091,0.5874008573381101,0.5886703612650527,0.9936348290898861,0.7393306643640265,0.49958777670683296,110,19743,181,28255
